Name,Normal Price (USD),Discounted Price (USD),Discount percentage (%),Rating (out of 5 stars),Review Count,Url
"True Wireless Bluetooth Earbuds,30H Playtime Sport Bluetooth 5.0 Headphones in-Ear Stereo Earphones Fast Charging in-Ear Headset Compatible with iPhone/Android/PC",12.99,10.99,15.0,4.0,15,https://www.amazon.com/Wireless-Bluetooth-Headphones-Earphones-Compatible/dp/B09YRH5289/ref=sr_1_26?keywords=tws&qid=1656433430&s=aht&sr=1-26
TOZO T10 Bluetooth 5.3 Wireless Earbuds with Wireless Charging Case IPX8 Waterproof Stereo Headphones in Ear Built in Mic Headset Premium Sound with Deep Bass for Sport Black,39.99,25.98,35.0,4.3,303398,https://www.amazon.com/TOZO-Bluetooth-Wireless-Headphones-Waterproof/dp/B07J2Z5DBM/ref=sr_1_27?keywords=tws&qid=1656433430&s=aht&sr=1-27
XClear Wireless Earbuds with Immersive Sounds True 5.0 Bluetooth in-Ear Headphones with Charging Case/Quick-Pairing Stereo Calls/Built-in Microphones/IPX5 Sweatproof/Pumping Bass for Sports Black,11.99,11.99,0,4.1,19125,https://www.amazon.com/XClear-Headphones-Quick-Pairing-Microphones-Sweatproof/dp/B07ZWJR9GD/ref=sr_1_29?keywords=tws&qid=1656433430&s=aht&sr=1-29
"Soundcore by Anker Life P2 Mini True Wireless Earbuds, 10mm Drivers with Big Bass, Custom EQ, Bluetooth 5.2, 32H Playtime, USB-C for Fast Charging, Tiny Size for Commute, Work (Black)",39.99,39.99,0,4.4,13688,https://www.amazon.com/Soundcore-Wireless-Bluetooth-Playtime-Charging/dp/B099DP3617/ref=sr_1_30?keywords=tws&qid=1656433430&s=aht&sr=1-30
"Wireless Earbuds Pamu Active Noise Cancelling Earbuds Bluetooth Headphones 5.2 with Charging case, ANC Earphones with Built-in Mic,ENC Call Noise Reduction Headset,Smart Touch,Deep Bass TWS (White)",52.99,52.99,0,5.0,1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_electronics_sr_pg2_1?ie=UTF8&adId=A02238562TB2SON9U090H&url=%2FPamu-Cancelling-Bluetooth-Headphones-Earphones%2Fdp%2FB09WJ1RJNX%2Fref%3Dsr_1_25_sspa%3Fkeywords%3Dtws%26qid%3D1656433434%26s%3Daht%26sr%3D1-25-spons%26psc%3D1%26smid%3DAMF5UV7BQ3N0R&qualifier=1656433434&id=4405316888249558&widgetName=sp_atf_next
"True Wireless Earbuds,GIEC Stylish Bluetooth Earbuds with Mic DSP Noise Cancellation Headset in Ear True Wireless Headphones Half in-Ear Bluetooth Earphones for Phones,HiFi Stereo Wireless Earphones",19.98,19.98,0,3.4,39,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_electronics_sr_pg2_1?ie=UTF8&adId=A05738881HWG7MTOQE2E5&url=%2FGIEC-Bluetooth-Cancellation-Headphones-Earphones%2Fdp%2FB08VGBMX8J%2Fref%3Dsr_1_26_sspa%3Fkeywords%3Dtws%26qid%3D1656433434%26s%3Daht%26sr%3D1-26-spons%26psc%3D1&qualifier=1656433434&id=4405316888249558&widgetName=sp_atf_next
"Bluetooth 5.2 Wireless Earbuds,Kurdene S8 Deep Bass Sound 38H Playtime IPX8 Waterproof Earphones Call Clear with Microphone in-Ear Stereo Headphones Comfortable for iPhone, Android",29.99,22.99,23.0,4.3,52371,https://www.amazon.com/Wireless-Bluetooth-Waterproof-Headphones-Android-Black/dp/B085VX9JY7/ref=sr_1_27?keywords=tws&qid=1656433434&s=aht&sr=1-27
"Wireless Earbuds, Bluetooth 5.0 Headphones 30Hrs Playtime with USB-C Fast Charging Case, IPX7 Waterproof Earphones, TWS in Ear Stereo Headset Built-in Mic for iPhone/Android",19.99,16.99,15.0,5.0,3,https://www.amazon.com/Wireless-Bluetooth-Headphones-Waterproof-Earphones/dp/B0B1M8VNDP/ref=sr_1_28?keywords=tws&qid=1656433434&s=aht&sr=1-28
"Wireless Earbuds Pamu Active Noise Cancelling Earbuds Bluetooth Headphones 5.2 with Charging case, ANC Earphones with Built-in Mic,ENC Call Noise Reduction Headset,Smart Touch,Deep Bass TWS (Blk)",52.99,52.99,0,5.0,1,https://www.amazon.com/Pamu-Cancelling-Bluetooth-Headphones-Earphones/dp/B09WJ288Y6/ref=sr_1_29?keywords=tws&qid=1656433434&s=aht&sr=1-29
"Jabra Elite 85t True Wireless Bluetooth Earbuds, Titanium Black – Advanced Noise-Cancelling Earbuds with Charging Case for Calls & Music – Wireless Earbuds with Superior Sound & Premium Comfort",224.99,224.99,0,4.2,19707,https://www.amazon.com/Jabra-Wireless-Bluetooth-Earbuds-Titanium/dp/B08HR78C46/ref=sr_1_30?keywords=tws&qid=1656433434&s=aht&sr=1-30
ACEFAST T6 One Color Wireless Earbuds Touch Control Dual Microphone ENC Noise Cancelling Wireless Headset HiFi Sound Earphones with LED Digital Display and Fast Charging (Ice Blue),39.99,39.99,0,0,0,https://www.amazon.com/ACEFAST-T6-Microphone-Cancelling-Earphones/dp/B0B1DNHWTT/ref=sr_1_32?keywords=tws&qid=1656433434&s=aht&sr=1-32
